(+)-7-epi-jasmonate <=> (-)-jasmonate	1579	3
roseoflavin + ATP -> roseoflavin 5'-phosphate + ADP + H+	1410 718 	1411 616 1064 
roseoflavin 5'-phosphate + ATP + H+ -> roseoflavin adenine dinucleotide + diphosphate	1411 718 1064 	1412 955 
S-(1-hydroxyhexan-3-yl)-L-cysteine -> 2-aminoprop-2-enoate + 3-sulfanylhexan-1-ol	1414	231 376 
S-(1-hydroxyhexan-3-yl)-L-cysteine + H2O -> 3-sulfanylhexan-1-ol + pyruvate + ammonium	1414 1066 	376 1401 706 
S-(2-chlorocarboxymethyl)-glutathione + H2O -> glyoxylate + glutathione + chloride + H+	1415 1066 	1055 1027 820 1064 
S-(2-hydroxyacyl)glutathione + H2O -> glutathione + a 2-hydroxy carboxylate + H+	2524 1066 	1027 2525 1064 
S-(4-hydroxy-2-methylpentan-2-yl)-L-cysteine -> 2-aminoprop-2-enoate + 4-methyl-4-sulfanylpentan-2-ol	1416	231 415 
S-(4-hydroxy-2-methylpentan-2-yl)-L-cysteine + H2O -> 4-methyl-4-sulfanylpentan-2-ol + pyruvate + ammonium	1416 1066 	415 1401 706 
S-(4-hydroxy-3-methylbutan-2-yl)-L-cysteine -> 2-aminoprop-2-enoate + 2-methyl-3-sulfanylbutan-1-ol	1417	231 266 
S-(4-hydroxy-3-methylbutan-2-yl)-L-cysteine + H2O -> 2-methyl-3-sulfanylbutan-1-ol + pyruvate + ammonium	1417 1066 	266 1401 706 
S-(4-oxo-2-methylpentan-2-yl)-L-cysteine -> 2-aminoprop-2-enoate + 4-methyl-4-sulfanylpentan-2-one	1418	231 416 
S-(4-oxo-2-methylpentan-2-yl)-L-cysteine + H2O -> 4-methyl-4-sulfanylpentan-2-one + pyruvate + ammonium	1418 1066 	416 1401 706 
S-(5-hydroxypentan-3-yl)-L-cysteine -> 2-aminoprop-2-enoate + 3-sulfanylpentan-1-ol	1419	231 377 
S-(5-hydroxypentan-3-yl)-L-cysteine + H2O -> 3-sulfanylpentan-1-ol + pyruvate + ammonium	1419 1066 	377 1401 706 
S-(6-hydroxy-4-methylhexan-4-yl)-L-cysteine -> 2-aminoprop-2-enoate + 3-methyl-3-sulfanylhexan-1-ol	1420	231 342 
S-(6-hydroxy-4-methylhexan-4-yl)-L-cysteine + H2O -> 3-methyl-3-sulfanylhexan-1-ol + pyruvate + ammonium	1420 1066 	342 1401 706 
S-(hydroxymethyl)glutathione <- formaldehyde + glutathione	994 1027 	1421
S-(hydroxymethyl)glutathione + NAD(P)+ -> S-formylglutathione + NAD(P)H + H+	1421 1600 	1431 1601 1064 
S-(hydroxysulfenamide)glutathione + glutathione -> glutathione disulfide + hydroxylamine	1422 1027 	1028 1082 
S-(hydroxysulfenamide)glutathione + NAD+ <- S-nitrosoglutathione + NADH + H+	1433 1299 1064 	1422 1298 
S-adenosyl-L-homocysteine + H2O -> S-ribosyl-L-homocysteine + adenine	1426 1066 	1434 597 
S-adenosyl-L-methionine + 2-methoxy-6-all trans-octaprenyl-1,4-benzoquinol -> S-adenosyl-L-homocysteine + 6-methoxy-3-methyl-2-all-trans-octaprenyl-1,4-benzoquinol + H+	1652 265 	1426 488 1064 
S-adenosyl-L-methionine + 2-sulfanyl-N6-dimethylallyladenosine37 in tRNA -> 2-methylsulfanyl-N6-dimethylallyladenosine37 in tRNA + S-adenosyl-L-homocysteine + H+	1652 289 	271 1426 1064 
S-adenosyl-L-methionine + 3-(all-trans-decaprenyl)benzene-1,2-diol -> 6-(all-trans-decaprenyl)-2-methoxy-phenol + S-adenosyl-L-homocysteine + H+	1652 303 	480 1426 1064 
S-adenosyl-L-methionine + 3-(all-trans-heptaprenyl)benzene-1,2-diol -> 2-methoxy-6-(all-trans-heptaprenyl)phenol + S-adenosyl-L-homocysteine + H+	1652 304 	262 1426 1064 
S-adenosyl-L-methionine + 3-(all-trans-nonaprenyl)benzene-1,2-diol -> 2-methoxy-6-(all-trans-nonaprenyl)phenol + S-adenosyl-L-homocysteine + H+	1652 305 	263 1426 1064 
S-adenosyl-L-methionine + 3-(all-trans-octaprenyl)benzene-1,2-diol -> 2-methoxy-6-(all-trans-octaprenyl)phenol + S-adenosyl-L-homocysteine + H+	1652 306 	264 1426 1064 
S-adenosyl-L-methionine + 3-demethylubiquinol-8 -> S-adenosyl-L-homocysteine + ubiquinol-8 + H+	1652 322 	1426 1499 1064 
S-adenosyl-L-methionine + 5-amino-1-(5-phospho-β-D-ribosyl)imidazole -> 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + 5'-deoxyadenosine + L-methionine + formate + carbon monoxide + 3 H+	1652 438 	401 429 1169 995 811 1064 
S-adenosyl-L-methionine + 9-mercaptodethiobiotin -> biotin + 5'-deoxyadenosine + L-methionine + H+	1652 523 	795 429 1169 1064 
S-adenosyl-L-methionine + a 3-(all-trans-polyprenyl)benzene-1,2-diol -> a 2-methoxy-6-(all-trans-polyprenyl)phenol + S-adenosyl-L-homocysteine + H+	1652 2526 	2527 1426 1064 
S-adenosyl-L-methionine + a 7-aminomethyl-7-deazaguanosine34 in tRNA -> an epoxyqueuosine34 in tRNA + adenine + L-methionine + H+	1652 2049 	2143 597 1169 1064 
S-adenosyl-L-methionine + a [formate C acetyltransferase]-glycine + a reduced flavodoxin -> a [formate C acetyltransferase]-glycin -2-yl radical + 5'-deoxyadenosine + L-methionine + a flavodoxin semiquinone + H+	1652 2528 2529 	2530 429 1169 2531 1064 
S-adenosyl-L-methionine + a [glycerolipid]-oleate -> a [glycerolipid]-dihydrosterculate + S-adenosyl-L-homocysteine + H+	1652 2532 	2533 1426 1064 
S-adenosyl-L-methionine + a [phospholipid] olefinic fatty acid -> a [phospholipid] cyclopropane fatty acid + S-adenosyl-L-homocysteine + H+	1652 2534 	2535 1426 1064 
S-adenosyl-L-methionine + a [protein]-L-β-isoaspartate -> S-adenosyl-L-homocysteine + a protein L-β-isoaspartate α-methyl ester	1652 2536 	1426 2537 
S-adenosyl-L-methionine + a [protein]-α-L-glutamate -> S-adenosyl-L-homocysteine + a [protein]-L-glutamate-O5-methyl-ester	1652 2538 	1426 2539 
S-adenosyl-L-methionine + a [release factor]-L-glutamine -> a [release factor]-N5-methyl-L-glutamine + S-adenosyl-L-homocysteine + H+	1652 2540 	2541 1426 1064 
S-adenosyl-L-methionine + a cis-delta19-37-methoxy-38-methyl-C57:1-[acp] -> a cis-methoxy-C59-meroacyl-[acp] + S-adenosyl-L-homocysteine + H+	1652 2542 	2543 1426 1064 
S-adenosyl-L-methionine + a cis-delta21-39-oxo-40-methyl-C59:1-[acp] -> a cis-keto-C60-meroacyl-[acp] + S-adenosyl-L-homocysteine + H+	1652 2544 	2545 1426 1064 
S-adenosyl-L-methionine + a cytidine1402 in 16S rRNA -> S-adenosyl-L-homocysteine + a 2'-O-methylcytidine1402 in 16S rRNA + H+	1652 2546 	1426 2547 1064 
S-adenosyl-L-methionine + a cytidine1402 in 16S rRNA -> S-adenosyl-L-homocysteine + an N4-methylcytidine1402 in 16S rRNA + H+	1652 2546 	1426 2548 1064 
S-adenosyl-L-methionine + a cytidine2498 in 23S rRNA -> a 2-O-methylcytidine2498 in 23S rRNA + S-adenosyl-L-homocysteine + H+	1652 2549 	2550 1426 1064 
S-adenosyl-L-methionine + a cytosine in DNA -> a 5-methylcytosine in DNA + S-adenosyl-L-homocysteine + H+	1652 2388 	2551 1426 1064 
S-adenosyl-L-methionine + a cytosine1407 in 16S rRNA -> S-adenosyl-L-homocysteine + a 5-methylcytosine1407 in 16S rRNA + H+	1652 2552 	1426 2553 1064 
S-adenosyl-L-methionine + a cytosine1962 in 23S rRNA -> a 5-methylcytosine1962 in 23S rRNA + S-adenosyl-L-homocysteine + H+	1652 2554 	2555 1426 1064 
S-adenosyl-L-methionine + a cytosine967 in 16S rRNA -> a 5-methylcytosine967 in 16S rRNA + S-adenosyl-L-homocysteine + H+	1652 2556 	2557 1426 1064 
S-adenosyl-L-methionine + a demethylated methyl donor -> S-adenosyl-L-homocysteine + a methylated methyl donor + H+	1652 2558 	1426 2559 1064 
S-adenosyl-L-methionine + a guanine2069 in 23S rRNA -> an N7-methylguanine2069 in 23S rRNA + S-adenosyl-L-homocysteine	1652 2560 	2561 1426 
S-adenosyl-L-methionine + a guanine2445 in 23S rRNA -> an N2-methylguanine2445 in 23S rRNA + S-adenosyl-L-homocysteine + H+	1652 2562 	2563 1426 1064 
S-adenosyl-L-methionine + a guanine527 in 16S rRNA -> S-adenosyl-L-homocysteine + an N7-methylguanine527 in 16S rRNA	1652 2564 	1426 2565 
S-adenosyl-L-methionine + a guanine966 in 16S rRNA -> S-adenosyl-L-homocysteine + an N2-methylguanine966 in 16S rRNA + H+	1652 2566 	1426 2567 1064 
S-adenosyl-L-methionine + a guanosine18 in tRNA -> a 2'-O-methylguanosine18 in tRNA + S-adenosyl-L-homocysteine + H+	1652 2568 	2569 1426 1064 
S-adenosyl-L-methionine + a malonyl-[acp] -> a malonyl-[acp] methyl ester + S-adenosyl-L-homocysteine	1652 1776 	2074 1426 
S-adenosyl-L-methionine + a pseudouridine1915 in 23S rRNA -> S-adenosyl-L-homocysteine + an N3-methylpseudouridine1915 in 23S rRNA + H+	1652 2570 	1426 2571 1064 
S-adenosyl-L-methionine + a sulfurated [sulfur carrier] + dethiobiotin + 2 a reduced [2Fe-2S] ferredoxin + H+ -> an unsulfurated [sulfur carrier] + 9-mercaptodethiobiotin + 5'-deoxyadenosine + L-methionine + 2 an oxidized [2Fe-2S] ferredoxin	1652 1654 936 1655 1064 	1657 523 429 1169 1658 
S-adenosyl-L-methionine + a uracil1939 in 23S rRNA -> a 5-methyluracil1939 in 23S rRNA + S-adenosyl-L-homocysteine + H+	1652 2572 	2573 1426 1064 
S-adenosyl-L-methionine + a uracil747 in 23S rRNA -> a 5-methyluracil747 in 23S rRNA + S-adenosyl-L-homocysteine + H+	1652 2574 	2575 1426 1064 
S-adenosyl-L-methionine + adenine1618 in 23S rRNA -> an N6-methyladenine1618 in 23S rRNA + S-adenosyl-L-homocysteine + H+	1652 2576 	2577 1426 1064 
S-adenosyl-L-methionine + adenine2030 in 23S rRNA -> an N6-methyladenine2030 in 23S rRNA + S-adenosyl-L-homocysteine + H+	1652 2578 	2579 1426 1064 
S-adenosyl-L-methionine + an adenine in DNA -> S-adenosyl-L-homocysteine + an N6-methyladenine in DNA + H+	1652 2384 	1426 2580 1064 
S-adenosyl-L-methionine + an inactive ribonucleoside triphosphate reductase + a reduced flavodoxin -> an active ribonucleoside triphosphate reductase + 5'-deoxyadenosine + L-methionine + a flavodoxin semiquinone + H+	1652 2581 2529 	2582 429 1169 2531 1064 
S-adenosyl-L-methionine + GTP + a reduced electron acceptor -> (8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate + L-methionine + 5'-deoxyadenosine + an oxidized electron acceptor + H+	1652 1058 1609 	76 1169 429 1608 1064 
S-adenosyl-L-methionine + guanosine2251 in 23S rRNA -> 2-O-methylguanosine2251 in 23S rRNA + S-adenosyl-L-homocysteine + H+	1652 2583 	2584 1426 1064 
S-adenosyl-L-methionine + H+ -> CO2 + S-adenosyl 3-(methylsulfanyl)propylamine	1652 1064 	834 1425 
S-adenosyl-L-methionine + L-tyrosine + NADPH -> 2-iminoacetate + 4-methylphenol + 5'-deoxyadenosine + L-methionine + NADP+ + H+	1652 1187 1301 	254 418 429 1169 1300 1064 
S-adenosyl-L-methionine + N6-dimethylallyladenosine37 in tRNA + a sulfurated [sulfur carrier] + a reduced electron acceptor -> 2-sulfanyl-N6-dimethylallyladenosine37 in tRNA + an unsulfurated [sulfur carrier] + 5'-deoxyadenosine + L-methionine + an oxidized electron acceptor + H+	1652 1666 1654 1609 	289 1657 429 1169 1608 1064 
S-adenosyl-L-methionine + precorrin-1 -> S-adenosyl-L-homocysteine + precorrin-2	1652 1369 	1426 1370 
S-adenosyl-L-methionine + prephenate -> 3-phenyl-2-oxopropanoate + S-adenosyl-S-carboxymethyl-L-homocystein + H2O	1652 1372 	371 1427 1066 
S-adenosyl-L-methionine + trans-aconitate -> (E)-3-(methoxycarbonyl)pent-2-enedioate + S-adenosyl-L-homocysteine	1652 1484 	88 1426 
S-adenosyl-L-methionine + uridine2552 in 23S rRNA -> a 2'-O-methyluridine2552 in 23S rRNA + S-adenosyl-L-homocysteine + H+	1652 2585 	2586 1426 1064 
S-adenosyl-L-methionine + uroporphyrinogen-III -> S-adenosyl-L-homocysteine + precorrin-1 + H+	1652 1536 	1426 1369 1064 
S-adenosyl-L-methionine + α-D-ribose-1-(2-N-acetamidomethylphosphonate) 5-phosphate + a reduced electron acceptor -> 5-phospho-α-D-ribose 1,2-cyclic phosphate + N-methylacetamide + 5'-deoxyadenosine + L-methionine + an oxidized electron acceptor + H+	1652 2587 1609 	1692 1276 429 1169 1608 1064 
S-adenosyl-L-methionine + α-D-ribose-1-[N-(phosphonomethyl)glycine] 5-phosphate + a reduced electron acceptor -> 5-phospho-α-D-ribose 1,2-cyclic phosphate + sarcosine + 5'-deoxyadenosine + L-methionine + an oxidized electron acceptor	1652 2588 1609 	1692 1440 429 1169 1608 
S-adenosyl-L-methionine + α-D-ribose-1-methylphosphonate 5-phosphate + a reduced electron acceptor -> 5-phospho-α-D-ribose 1,2-cyclic phosphate + methane + 5'-deoxyadenosine + L-methionine + an oxidized electron acceptor + H+	1652 2589 1609 	1692 1216 429 1169 1608 1064 
S-benzyl-L-cysteine -> 2-aminoprop-2-enoate + benzyl thiol	1428	231 751 
S-benzyl-L-cysteine + H2O -> benzyl thiol + pyruvate + ammonium	1428 1066 	751 1401 706 
S-ethyl-L-cysteine -> 2-aminoprop-2-enoate + ethanethiol	1429	231 978 
S-ethyl-L-cysteine + H2O -> ethanethiol + pyruvate + ammonium	1429 1066 	978 1401 706 
S-fenclorimyl-L-cysteine -> 2-aminoprop-2-enoate + 6-chloro-2-phenyl-4-sulfanylpyrimidine	1430	231 484 
S-fenclorimyl-L-cysteine + H2O -> 6-chloro-2-phenyl-4-sulfanylpyrimidine + pyruvate + ammonium	1430 1066 	484 1401 706 
S-formylglutathione + H2O -> formate + glutathione + H+	1431 1066 	995 1027 1064 
S-methyl-5'-thioadenosine + H2O -> 5-(methylsulfanyl)-α-D-ribose + adenine	1432 1066 	2590 597 
S-ribosyl-L-homocysteine -> L-homocysteine + autoinducer 2	1434	1163 719 
S-sulfanylglutathione + glutathione <=> hydrogen sulfide + glutathione disulfide	1435 1027 	1077 1028 
S-sulfanylglutathione + sulfite + H+ = glutathione + thiosulfate	1435 1469 1064 	1027 1479 
S-sulfo-L-cysteine + a reduced glutaredoxin -> L-cysteine + sulfite + an oxidized glutaredoxin + H+	1436 1649 	1149 1469 1648 1064 
salicin 6-phosphate + H2O -> β-D-glucose 6-phosphate + salicyl alcohol	1438 1066 	768 1439 
selenate + ATP + 2 H+ -> adenosine 5'-phosphoselenate + diphosphate	1441 718 1064 	604 955 
selenide + ATP + H2O -> selenophosphate + AMP + phosphate	1442 718 1066 	1446 707 1354 
selenite + 4 glutathione + 2 H+ -> selenodiglutathione + glutathione disulfide + 3 H2O	1443 1027 1064 	1445 1028 1066 
selenite + AMP + glutathione disulfide + 3 H+ <- adenosine 5'-phosphoselenate + 2 glutathione	604 1027 	1443 707 1028 1064 
selenite + an oxidized electron acceptor + H2O = selenate + a reduced electron acceptor	1443 1608 1066 	1441 1609 
seleno-L-homocysteine + 5-methyltetrahydropteroyl tri-L-glutamate = L-selenomethionine + tetrahydropteroyl tri-L-glutamate	1444 474 	1181 1474 
selenodiglutathione + NADPH + H+ -> glutathioselenol + glutathione + NADP+	1445 1301 1064 	1030 1027 1300 
selenophosphate + an L-seryl-[tRNAsec] -> an L-selenocysteinyl-[tRNAsec] + phosphate	1446 2194 	2591 1354 
serine[periplasm] -> serine[cytosol]	2480	2480
SHG-glucosyln+1 + D-glucopyranose <=> SHG-glucosyln + maltose	2592 1583 	2593 2076 
SHG-glucosyln+1 + phosphate -> SHG-glucosyln + α-D-glucopyranose 1-phosphate	2592 1354 	2593 1584 
shikimate + ATP -> shikimate 3-phosphate + ADP + H+	1448 718 	1449 616 1064 
shikimate + NADP+ <- 3-dehydroshikimate + NADPH + H+	321 1301 1064 	1448 1300 
shikimate 3-phosphate + phosphoenolpyruvate -> 5-enolpyruvoyl-shikimate 3-phosphate + phosphate	1449 1356 	457 1354 
shikimate[periplasm] -> shikimate[cytosol]	1448	1448
sirohydrochlorin + Fe2+ -> siroheme + 2 H+	1451 985 	1450 1064 
sn-glycero-3-phosphoethanolamine + H2O -> sn-glycerol 3-phosphate + ethanolamine + H+	1453 1066 	1455 980 1064 
sn-glycerol 3-phosphate + a stearoyl-[acp] = 1-stearoyl-sn-glycerol 3-phosphate + acyl-carrier protein	1455 2164 	183 1624 
sn-glycerol 3-phosphate + CTP + H+ = CDP-glycerol + diphosphate	1455 865 1064 	818 955 
sn-glycerol 3-phosphate + NAD(P)+ <- glycerone phosphate + NAD(P)H + H+	1032 1601 1064 	1455 1600 
sn-glycerol 3-phosphate + NAD+ <- glycerone phosphate + NADH + H+	1032 1299 1064 	1455 1298 
sn-glycerol 3-phosphate + oleoyl-CoA = 1-oleoyl-sn-glycerol 3-phosphate + coenzyme A	1455 1326 	172 856 
sn-glycerol 3-phosphate + ubiquinone-8 -> glycerone phosphate + ubiquinol-8	1455 1501 	1032 1499 
sn-glycerol 3-phosphate[in] + a menaquinone[membrane] -> glycerone phosphate[in] + a menaquinol[membrane]	1455 1612 	1032 1613 
sn-glycerol 3-phosphate[in] + a ubiquinone[membrane] -> glycerone phosphate[in] + an ubiquinol[membrane]	1455 1602 	1032 1603 
sn-glycerol 3-phosphate[in] + an electron-transfer quinone[membrane] -> glycerone phosphate[in] + an electron-transfer quinol[membrane]	1455 1614 	1032 1615 
sn-glycerol 3-phosphate[in] + ubiquinone-6[membrane] -> glycerone phosphate[in] + ubiquinol-6[membrane]	1455 1500 	1032 1498 
sn-glycerol 3-phosphate[periplasm] -> sn-glycerol 3-phosphate[cytosol]	1455	1455
sn-glycerol 3-phosphate[periplasm] + H+[periplasm] -> sn-glycerol 3-phosphate[cytosol] + H+[cytosol]	1455 1064 	1455 1064 
spermidine + glutathione + ATP -> glutathionylspermidine + ADP + phosphate + H+	1457 1027 718 	1029 616 1354 1064 
spermidine[cytosol] -> spermidine[periplasm]	1457	1457
stearate + ATP + coenzyme A -> stearoyl-CoA + AMP + diphosphate	1459 718 856 	1460 707 955 
stearoyl-CoA + H2O -> stearate + coenzyme A + H+	1460 1066 	1459 856 1064 
succinate + ATP + coenzyme A <=> succinyl-CoA + ADP + phosphate	1462 718 856 	1464 616 1354 
succinate semialdehyde + NAD(P)+ + H2O -> succinate + NAD(P)H + 2 H+	1463 1600 1066 	1462 1601 1064 
succinate semialdehyde + NAD+ + H2O -> succinate + NADH + 2 H+	1463 1298 1066 	1462 1299 1064 
succinate semialdehyde + NADP+ + H2O -> succinate + NADPH + 2 H+	1463 1300 1066 	1462 1301 1064 
succinate[in] + a ubiquinone[membrane] -> fumarate[in] + an ubiquinol[membrane]	1462 1602 	997 1603 
succinate[in] + an electron-transfer quinone[membrane] -> fumarate[in] + an electron-transfer quinol[membrane]	1462 1614 	997 1615 
succinate[in] + caldariellaquinone[membrane] -> fumarate[in] + caldariellaquinol[membrane]	1462 807 	997 806 
succinate[in] + ubiquinone-6[membrane] -> fumarate[in] + ubiquinol-6[membrane]	1462 1500 	997 1498 
succinyl-CoA + a [2-oxoglutarate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine <=> a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine + coenzyme A	1464 1858 	1677 856 
succinyl-CoA + acetyl-CoA <- 3-oxoadipyl-CoA + coenzyme A	364 856 	1464 595 
succinyl-CoA + oxalate <=> succinate + oxalyl-CoA	1464 1331 	1462 1334 
sucrose + phosphate -> β-D-fructofuranose + α-D-glucopyranose 1-phosphate	1465 1354 	757 1584 
sulfate + ATP + H+ -> adenosine 5'-phosphosulfate + diphosphate	1467 718 1064 	605 955 
sulfate[cytosol] <=> sulfate[periplasm]	1467	1467
sulfate[periplasm] + thiosulfate[periplasm] -> sulfate[cytosol] + thiosulfate[cytosol]	1467 1479 	1467 1479 
sulfite + H+ <=> hydrogensulfite	1469 1064 	1079
taurine + 2-oxoglutarate + oxygen -> sulfite + 2-aminoacetaldehyde + succinate + CO2 + H+	1472 280 1336 	1469 230 1462 834 1064 
taurine[periplasm] + ATP + H2O -> taurine[cytosol] + ADP + phosphate + H+	1472 718 1066 	1472 616 1354 1064 
tetrahydropteroyl-[γ-Glu](n) + L-glutamate + ATP -> tetrahydropteroyl-[γ-Glu](n+1) + ADP + phosphate	2594 1157 718 	2594 616 1354 
thiamine + ATP -> thiamine diphosphate + AMP + H+	1475 718 	1476 707 1064 
thiamine + ATP -> thiamine phosphate + ADP + H+	1475 718 	1477 616 1064 
thiamine diphosphate[periplasm] + ATP + H2O -> thiamine diphosphate[cytosol] + ADP + phosphate + H+	1476 718 1066 	1476 616 1354 1064 
thiamine phosphate + ATP -> thiamine diphosphate + ADP	1477 718 	1476 616 
thiamine phosphate + H2O -> thiamine + phosphate	1477 1066 	1475 1354 
thiocyanate <=> isothiocyanate	1478	1104
thiosulfate + a reduced thioredoxin -> an oxidized thioredoxin + sulfite + hydrogen sulfide + H+	1479 1682 	1683 1469 1077 1064 
thiosulfate + dithioerythritol = sulfite + 4,5-cis-dihydroxy-1,2-dithiacyclohexane + hydrogen sulfide + H+	1479 956 	1469 393 1077 1064 
thiosulfate + hydrogen cyanide -> sulfite + thiocyanate + 2 H+	1479 1074 	1469 1478 1064 
thymidine + ATP -> dTMP + ADP + H+	1480 718 	971 616 1064 
thymidine + phosphate <=> 2-deoxy-α-D-ribose 1-phosphate + thymine	1480 1354 	1670 1481 
trans-2,3-dehydroadipyl-coA + acetyl-CoA <- 3-oxo-5,6-didehydrosuberyl-CoA + coenzyme A	360 856 	1482 595 
trans-4-hydroxy-L-proline + NAD(P)+ <- (3R,5S)-3-hydroxy-1-pyrroline-5-carboxylate + NAD(P)H + 2 H+	53 1601 1064 	1483 1600 
trans-cinnamate + NADH + oxygen + H+ -> (2E)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate + NAD+	1485 1299 1336 1064 	13 1298 
trans-dienelactone + H2O -> 2-maleylacetate + H+	1486 1066 	261 1064 
trimethylamine + 2 an oxidized TorC protein + H2O <- trimethylamine N-oxide + 2 a reduced TorC protein + 3 H+	1494 2596 1064 	1493 2595 1066 
trimethylamine + 2 an oxidized TorY protein + H2O <- trimethylamine N-oxide + 2 a reduced TorY protein + 3 H+	1494 2598 1064 	1493 2597 1066 
triphosphate + H2O -> phosphate + diphosphate	1495 1066 	1354 955 
tRNAAsn + L-asparagine + ATP -> an L-asparaginyl-[tRNAAsn] + AMP + diphosphate	2599 1139 718 	2600 707 955 
tRNAasp + L-aspartate + ATP -> an L-aspartyl-[tRNAasp] + AMP + diphosphate	2002 1140 718 	2601 707 955 
ubiquinone-6[membrane] + 2 H+[in] + 2 e-[membrane] -> ubiquinol-6[membrane]	1500 1064 1606 	1498
UDP + ATP -> UTP + ADP	1502 718 	1537 616 
UDP + H2O -> UMP + phosphate + H+	1502 1066 	1525 1354 1064 
UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-α-D-glucosamine + H2O -> lipid X + UMP + 2 H+	1750 1066 	1202 1525 1064 
UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetyl-α-D-glucosamine + H2O -> UDP-3-O-(3-hydroxymyristoyl)-α-D-glucosamine + acetate	2602 1066 	1749 591 
UDP-4-amino-4-deoxy-β-L-arabinopyranose + 2-oxoglutarate <- UDP-β-L-threo-pentapyranos-4-ulose + L-glutamate	1512 1157 	1507 280 
UDP-4-amino-4-deoxy-β-L-arabinopyranose + a 10-formyltetrahydrofolate -> UDP-4-deoxy-4-formamido-β-L-arabinopyranose + a tetrahydrofolate + H+	1507 1799 	1508 1800 1064 
UDP-4-deoxy-4-formamido-β-L-arabinopyranose + di-trans,octa-cis-undecaprenyl phosphate -> 4-deoxy-4-formamido-α-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate + UDP	1508 943 	1689 1502 
UDP-N-acetyl-α-D-glucosamine -> UDP-N-acetyl-α-D-mannosamine	2454	2603
UDP-N-acetyl-α-D-glucosamine + a (3R)-3-hydroxytetradecanoyl-[acp] -> UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetyl-α-D-glucosamine + acyl-carrier protein	2454 1746 	2602 1624 
UDP-N-acetyl-α-D-glucosamine + core oligosaccharide-lipid A (E. coli K-12 core type) (no GlcNAc) -> core oligosaccharide-lipid A (E. coli K-12 core type) + UDP + H+	2454 860 	859 1502 1064 
UDP-N-acetyl-α-D-glucosamine + di-trans,octa-cis-undecaprenyl phosphate -> N-acetyl-α-D-glucosaminyldiphospho-ditrans,octacis-undecaprenol + UMP	2454 943 	2604 1525 
UDP-N-acetyl-α-D-glucosamine + phosphoenolpyruvate -> UDP-N-acetyl-α-D-glucosamine-enolpyruvate + phosphate	2454 1356 	2605 1354 
UDP-N-acetyl-α-D-mannosamine + 2 NAD+ + H2O -> UDP-N-acetyl-α-D-mannosaminuronate + 2 NADH + 3 H+	2603 1298 1066 	2606 1299 1064 
UDP-N-acetyl-α-D-mannosaminuronate + N-acetyl-α-D-glucosaminyldiphospho-ditrans,octacis-undecaprenol -> N-acetyl-β-D-mannosaminuronyl-(1->4)-N-acetyl-α-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol + UDP + H+	2606 2604 	2459 1502 1064 
